Name;Year;Genres;IMDBRate;MyRate;Voters
007: Координаты Скайфолл;2012;Action Adventure Thriller;7.8;8;575917
Irma la Douce;1963;Comedy Romance;7.4;8;14520
Look Back in Anger;1959;Drama;7.2;5;2733
Ограбление казино;2012;Crime Thriller;6.2;5;121501
Палач Дамер;2002;Biography Crime Drama;5.6;5;8342
The Ring;1927;Drama Romance Sport;6.3;7;2723
Нео Нед;2005;Drama Romance;7.2;7;1461
The Pleasure Garden;1925;Drama Romance;6.1;6;1764
Операция Арго;2012;Biography Drama Thriller;7.7;8;516835
It's Love I'm After;1937;Comedy;7.7;7;1712
Лютер;2010;Crime Drama Mystery;8.5;7;92711
Большое путешествие;1995;Adventure Comedy;5.6;5;5003
Come Live with Me;1941;Comedy Romance;7.2;6;1445
The Trouble with Harry;1955;Comedy Mystery;7.1;7;28920
Доля ангелов;2012;Comedy Crime Drama;7;6;20867
Петля времени;2012;Action Crime Drama;7.4;7;483101
Хемингуэй и Геллхорн;2012;Biography Drama Romance;6.3;6;7825
Игра изменилась;2012;Biography Drama History;7.4;6;19291
Гении;2009;Comedy Drama Romance;5.8;5;1718
Хэтфилды и МакКои;2012;Drama History Romance;8;7;21103
Весь этот джаз;1979;Comedy Drama Music;7.8;6;22815
Chelovek s kino-apparatom;1929;Documentary Music;8.4;7;18746
Comrade X;1940;Comedy Romance;6.5;5;1144
La belle et la bête;1946;Drama Fantasy Romance;8;5;21470
Mr. & Mrs. Smith;1941;Comedy Romance;6.5;6;8200
Foreign Correspondent;1940;Action Romance Thriller;7.6;7;15750
Двенадцатилетние;2005;Drama;7.6;6;6415
The Sheik;1921;Adventure Drama Romance;7.1;5;2786
Войцек;1979;Drama;7.2;6;7785
Chinesisches Roulette;1976;Drama Thriller;7.5;6;2933
Кабирия;1914;Adventure Drama History;6.8;7;2630
Murder!;1930;Crime Mystery Thriller;6.4;6;4824
Les dames du Bois de Boulogne;1945;Drama Romance;7.4;6;3269
Эволюция Борна;2012;Action Adventure Thriller;6.7;7;260595
Жилец;1927;Crime Drama Mystery;7.3;6;8459
Я соблазнила Энди Уорхола;2006;Biography Drama;6.4;5;19736
Машина времени;2002;Action Adventure Sci-Fi;5.9;4;110863
The World in His Arms;1952;Action Adventure History;7.1;5;1447
Pickpocket;1959;Crime Drama;7.8;5;16110
Where Eagles Dare;1968;Action Adventure War;7.7;6;45658
Битлджюс;1988;Comedy Fantasy;7.5;7;219717
Паук;2007;Short Action Drama;7.7;8;2366
Удивительная легкость;2006;Biography Drama History;7.5;7;22473
Vincent;1982;Short Animation Family;8.4;8;19831
Frankenweenie;1984;Short Comedy Drama;7.3;8;10154
Планета обезьян;2001;Action Adventure Sci-Fi;5.7;5;196999
Крупная рыба;2003;Adventure Drama Fantasy;8;8;380809
Marnie;1964;Crime Drama Mystery;7.2;7;38867
Пустая корона;2012;Drama History;8.4;7;4606
Пустая корона;2012;Drama History;8.5;6;915
Пустая корона;2012;Drama History;8.1;7;814
The Four Musketeers;1974;Adventure History;7.1;6;8710
The Three Musketeers;1973;Action Adventure;7.3;6;13749
The Jewel of the Nile;1985;Action Adventure Comedy;6.1;7;44651
Romancing the Stone;1984;Action Adventure Comedy;6.9;7;72788
Дракула 2000;2000;Action Fantasy Horror;4.9;6;29588
Западня;1999;Action Crime Romance;6.3;6;97544
Шесть дней, семь ночей;1998;Action Adventure Comedy;5.8;5;66555
Lady Jane;1986;Biography Drama History;7.2;7;5553
Пустая корона;2012;Drama History;8.4;8;1076
Капитан Хорнблауэр: Долг;2003;Adventure Drama War;8.1;7;2592
Капитан Хорнблауэр: Верность;2003;Adventure Drama War;8.2;8;2711
Лейтенант Хорнблауэр: Возмездие;2001;Adventure Drama War;8.3;8;3016
Мичман Хорнблауэр: Герцогиня и дьявол;1999;Adventure Drama War;8;7;3238
Лейтенант Хорнблауэр: Бунт;2001;Adventure Drama War;8.2;8;3480
Лейтенант Хорнблауэр: Раки и лягушатники;1999;Adventure Drama War;8.1;7;3282
Неглубокая могила;1994;Crime Thriller;7.3;7;51115
Мичман Хорнблауэр: Экзамен на лейтенанта;1998;Adventure Drama War;8.2;7;3457
Мичман Хорнблауэр: Равные шансы;1998;Adventure Drama War;8.2;7;4645
Пустая корона;2012;Drama History;8.3;6;1259
La ragazza con la valigia;1961;Drama Romance;7.7;8;1455
Рай;2002;Crime Drama Romance;7.1;8;21810
Captain Horatio Hornblower R.N.;1951;Action Adventure Drama;7.4;6;5412
Days of Glory;1944;Drama Romance War;6.2;5;929
Limelight;1952;Drama Music Romance;8.1;6;15492
Римские приключения;2012;Comedy Music Romance;6.3;6;77320
The Iron Horse;1924;History Romance Western;7.3;6;1644
La dentellière;1977;Drama Romance;7.8;7;1944
Voenno-polevoy roman;1983;Drama Romance;7.4;7;397
Интердевочка;1989;Drama Romance;7;5;803
Лимита;1995;Drama;5.8;5;117
Олигарх;2002;Crime Drama;6.8;5;1730
Идиот;2003;Drama;8.5;7;1576
Питер FM;2006;Comedy Drama Romance;7.1;6;2610
Ликвидация;2007;Action Crime Thriller;8.4;8;1521
Охота на пиранью;2006;Action Crime Thriller;6.1;5;1481
Стиляги;2008;Drama Musical Romance;7.2;7;3764
Страна глухих;1998;Comedy Crime Drama;7.6;7;1104
Lyubov;1991;Romance;7.1;7;188
Вор;1997;Crime Drama;7.7;6;4325
Водитель для Веры;2004;Drama;7.2;6;1618
Свои;2004;Action Drama War;7.7;8;1113
Достучаться до небес;1997;Action Crime Comedy;8;7;23765
Третья звезда;2010;Drama;7.6;5;6118
Шекспир на новый лад;2005;Comedy Drama Romance;7.8;6;798
Шекспир на новый лад;2005;Comedy Drama Romance;8.3;7;1367
Кукла;1919;Comedy Fantasy;7.3;7;1385
Королевство полной луны;2012;Adventure Comedy Drama;7.8;6;279677
Julian Fellowes Investigates: A Most Mysterious Murder - The Case of Charles Bravo;2004;Crime Drama Mystery;7.5;7;134
3 Godfathers;1948;Drama Western;7.2;6;7108
3 Bad Men;1926;Romance Western;7.6;7;843
Рок на века;2012;Comedy Drama Musical;5.9;6;68095
Man of the West;1958;Drama Romance Western;7.2;5;5518
Tom Jones;1963;Adventure Comedy History;6.7;5;9827
Прометей;2012;Adventure Mystery Sci-Fi;7;6;523755
Бегущий по лезвию;1982;Sci-Fi Thriller;8.2;6;597794
Triumph des Willens;1935;Documentary History War;7.5;7;13269
Мужские Разборки;1955;Crime Thriller;8.2;8;21814
Ich will doch nur, daß ihr mich liebt;1976;Drama;8;5;991
4 мeсяца, 3 недели и 2 дня;2007;Drama;7.9;3;50468
Элизабеттаун;2005;Comedy Drama Romance;6.4;5;63036
Госпожа горничная;2002;Comedy Drama Romance;5.1;4;75972
Стильная штучка;2002;Comedy Romance;6.2;5;92581
Пока ты спал;1995;Comedy Drama Romance;6.7;5;80967
Ноттинг Хилл;1999;Comedy Drama Romance;7.1;6;233416
Чyжой билет;2000;Drama Romance;5.7;6;18818
Дневник Бриджет Джонс;2001;Comedy Drama Romance;6.7;6;197996
Как отделаться от парня за 10 дней;2003;Comedy Romance;6.4;5;182179
Вам письмо;1998;Comedy Drama Romance;6.6;5;171390
История вечной любви;1998;Comedy Drama Romance;7;6;63055
When Harry Met Sally...;1989;Comedy Drama Romance;7.6;7;170324
Дом у озера;2006;Drama Fantasy Romance;6.8;7;125558
Только ты;1994;Comedy Romance;6.5;6;17507
Union Pacific;1939;Drama Western;7.2;6;2115
Die Ehe der Maria Braun;1978;Drama;7.9;6;10417
The Public Enemy;1931;Crime Drama;7.7;7;15376
Lola;1981;Drama Romance;7.7;6;4324
The Divorce of Lady X;1938;Comedy Drama Romance;6.8;6;1046
Die Sehnsucht der Veronika Voss;1982;Drama;8;7;5084
The Virginian;1929;Western;7;6;533
A Farewell to Arms;1932;Drama Romance War;6.5;6;4163
Игра престолов;2011;Action Adventure Drama;9.5;8;1352783
Жизнь как приговор;2007;Crime Drama Mystery;8.3;7;31025
Мстители;2012;Action Adventure Sci-Fi;8.1;5;1123539
All the King's Men;1949;Drama Film-Noir;7.6;5;11442
Saratoga Trunk;1945;Drama Romance Western;6.6;5;1043
In the Heat of the Night;1967;Crime Drama Mystery;8;6;57554
Gigi;1958;Comedy Musical Romance;6.8;6;17030
Последний из могикан;1992;Action Adventure Drama;7.8;6;130786
A Letter to Three Wives;1949;Drama Romance;7.8;7;7117
Доктор Кто;2005;Adventure Drama Family;8.7;7;174545
Morning Glory;1933;Drama Romance;6.6;5;2243
Хижина в лесу;2012;Comedy Horror;7;6;322506
Love with the Proper Stranger;1963;Comedy Drama Romance;7.5;6;3486
Преступления прошлого;2011;Crime Drama Mystery;8;7;2709
Suddenly, Last Summer;1959;Drama Mystery Thriller;7.6;6;12073
Клуб первых жён;1996;Comedy;6.3;6;36808
Overboard;1987;Comedy Romance;6.8;7;44771
The French Connection;1971;Action Crime Drama;7.8;6;95398
Der blaue Engel;1930;Drama Music;7.8;7;11869
Пращи и стрелы;2003;Comedy;8.5;10;2251
Night of the Demon;1957;Fantasy Horror Mystery;7.6;6;9899
Carnival of Souls;1962;Horror Mystery;7.2;7;16352
Голодные игры;2012;Adventure Sci-Fi Thriller;7.2;5;773971
Белоснежка: Месть гномов;2012;Adventure Comedy Drama;5.6;6;77320
I Walked with a Zombie;1943;Drama Fantasy Horror;7.2;8;9221
Монстр;2003;Biography Crime Drama;7.3;7;120162
Bus Stop;1956;Comedy Drama Romance;6.6;5;9464
Укрытие;2011;Drama Horror Thriller;7.4;6;80285
The Prince and the Showgirl;1957;Comedy Romance;6.7;7;6664
Как выйти замуж за миллионера;1953;Comedy Drama Romance;7;7;17981
Angel;1937;Comedy Drama Romance;7.4;6;1778
7 дней и ночей с Мэрилин;2011;Biography Drama;7;5;77666
Родина;2011;Crime Drama Mystery;8.4;8;269153
Бал монстров;2001;Drama Romance;7.1;6;76888
Самаритянка;2004;Drama;7.1;5;12155
К черту любовь!;2003;Comedy Romance;6.3;6;36533
Стыд;2011;Drama;7.2;8;166032
The Roaring Twenties;1939;Action Crime Drama;7.9;7;10897
Lili Marleen;1981;Drama Music Romance;7.2;6;3182
Артист;2011;Comedy Drama Romance;7.9;8;211432
Крэнфорд;2007;Drama;8.3;7;7538
Американский пирог 3: Свадьба;2003;Comedy;6.3;5;177706
Американский пирог 2;2001;Comedy;6.4;5;219171
Чужoй 4: Воскрешение;1997;Action Horror Sci-Fi;6.2;5;202162
Эйс Вентура 2: Когда зовёт природа;1995;Adventure Comedy Crime;6.3;5;180898
Эйс Вентура: Розыск домашних животных;1994;Comedy;6.9;5;245225
40 дней и 40 ночeй;2002;Comedy Romance;5.6;4;65877
102 далматинцa;2000;Adventure Comedy Family;4.9;5;30291
101 далматинeц;1996;Adventure Comedy Crime;5.7;5;87516
Последнее воскресение;2009;Biography Drama Romance;7;7;16541
Дж. Эдгар;2011;Biography Crime Drama;6.6;5;113125
Комната Марвина;1996;Drama;6.7;6;22756
Безумцы;2007;Drama;8.6;8;170585
Три мушкетера;1993;Action Adventure Comedy;6.4;5;45460
Ещё одна из рода Болейн;2008;Biography Drama History;6.7;4;93401
История рыцаря;2001;Action Adventure Romance;6.9;5;152397
Джейн Эйр;2006;Drama Romance;8.4;5;17180
Хроники Нарнии: Лев, Колдунья и волшебный шкаф;2005;Adventure Family Fantasy;6.9;6;325869
Яркая звезда;2009;Biography Drama Romance;7;6;23416
West Side Story;1961;Crime Drama Musical;7.6;6;83792
Кабаре;1972;Drama Musical;7.8;8;41709
Nuovo Cinema Paradiso;1988;Drama;8.5;8;189300
Белоснежка и семь гномов;1937;Animation Family Fantasy;7.6;7;156180
Johnny Guitar;1954;Drama Western;7.7;8;13206
Великий диктатор;1940;Comedy Drama War;8.5;7;170354
A Matter of Life and Death;1946;Comedy Drama Fantasy;8.1;5;16094
Stromboli, terra di Dio;1950;Drama;7.4;6;4765
The Circus;1928;Comedy Romance;8.1;7;21878
Devilwood;2006;Short History Horror;6.8;6;67
City Girl;1930;Drama Romance;7.9;7;2420
Sanshô dayû;1954;Drama;8.4;6;11927
Потомки;2011;Comedy Drama;7.3;6;219380
Опасный метод;2011;Biography Drama Romance;6.4;7;90467
Розенкранц и Гильденстерн мертвы;1990;Comedy Drama;7.5;8;18892
Развод Надера и Симин;2011;Crime Drama Family;8.3;6;185505
Шекспир на новый лад;2005;Comedy Drama Romance;7.4;7;934
Нокаут;2011;Action Drama Thriller;5.8;5;77334
The Private Life of Sherlock Holmes;1970;Adventure Comedy Crime;7.1;6;8889
Декстер;2006;Crime Drama Mystery;8.7;6;575935
Don't Tell Her It's Me;1990;Comedy Romance;5.9;7;2065
Человек, который изменил вcё;2011;Biography Drama Sport;7.6;7;315368
The Seven Year Itch;1955;Comedy Romance;7.2;8;29614
Шерлок;2010;Crime Drama Mystery;9.2;6;658164
Мертвец;1995;Drama Fantasy Western;7.7;6;80931
Воспитывая Аризону;1987;Comedy Crime;7.4;7;112331
Иллюзионист;2010;Animation Drama;7.5;8;31013
Хранитель времени;2011;Adventure Drama Family;7.5;7;275911
Миссия невыполнима: Протокол Фантом;2011;Action Adventure Thriller;7.4;6;411150
Последний король Шотландии;2006;Biography Drama History;7.7;6;161040
Девушка с татуировкой дракона;2011;Crime Drama Mystery;7.8;7;373165
Christmas in Connecticut;1945;Comedy Romance;7.4;8;6256
Шерлок Холмс: Игра теней;2011;Action Adventure Crime;7.5;5;380776
Roma città aperta;1945;Drama Thriller War;8.1;7;19370
Что-то не так с Кевином;2011;Drama Mystery Thriller;7.5;5;117285
Звездный крейсер Галактика;2004;Action Adventure Drama;8.7;8;136363
Woman of the Year;1942;Comedy Drama Romance;7.3;6;7904
Начинающие;2010;Comedy Drama Romance;7.2;7;81949
Мартовские иды;2011;Drama Thriller;7.1;6;203712
Captains Courageous;1937;Adventure Drama Family;8;7;7544
Резня;2011;Comedy Drama;7.2;8;107951
Шпион, выйди вон!;2011;Drama Mystery Thriller;7.1;6;169115
Tinker Tailor Soldier Spy;1979;Drama Thriller;8.6;7;6388
The Long, Hot Summer;1958;Drama;7.5;7;8594
Однажды в Ирландии;2011;Comedy Crime Thriller;7.3;8;72921
Прислуга;2011;Drama;8.1;7;376571
Шоу Трумана;1998;Comedy Drama Sci-Fi;8.1;6;796109
Ahiru to kamo no koinrokkâ;2007;Drama;7.2;7;601
Любовь и другие лекарства;2010;Comedy Drama Romance;6.7;6;161635
Убийцы;2009;Mystery Thriller;6.7;7;2537
Boom Town;1940;Adventure Drama Romance;7.1;5;2685
The Innocents;1961;Horror;7.9;7;22498
Аноним;2011;Drama Thriller;6.9;4;37099
Viridiana;1961;Comedy Drama;8.2;6;18854
Без истерики!;2011;Comedy Romance;6.7;7;28253
Picnic at Hanging Rock;1975;Drama Mystery;7.6;6;29057
Необычный детектив;2009;Comedy Drama;8;8;4835
Шестизарядный;2004;Short Comedy Drama;7.6;8;9032
Мэри и Макс;2009;Animation Comedy Drama;8.1;8;144483
Звёздный крейсер Галактика;2003;Action Adventure Drama;8.6;8;58052
Dawn of the Dead;1978;Horror Thriller;8;6;100057
Безбилетник;1993;Short Comedy;7.8;8;1408
Ночь живых мертвецов;1968;Horror;7.9;8;100430
Miller's Crossing;1990;Crime Drama Thriller;7.8;7;114536
Драйв;2011;Crime Drama;7.8;5;500739
Lovefield;2008;Short Drama Horror;6.9;7;237
Dead Reckoning;1947;Crime Drama Film-Noir;7.2;7;5307
Парк юрского периода;1993;Adventure Sci-Fi Thriller;8.1;7;743818
Фитцкарральдо;1982;Adventure Drama;8.1;6;26211
Страсти Христовы;2004;Drama;7.2;6;195893
Halifax f.p.;1994;Crime;6.8;7;173
Correlli;1995;Crime Drama Mystery;7.3;7;154
Antonella;1991;Comedy Drama Romance;7.7;4;89
Santa Barbara;1984;Drama Romance;5.7;7;2009
Chelovek-Amfibiya;1962;Drama Romance Sci-Fi;7.2;6;1776
Зубастики 4;1992;Comedy Horror Sci-Fi;4.1;4;5709
Как я встретил вашу маму;2005;Comedy Romance;8.3;8;517499
Бедная Настя;2003;Drama Romance;6.9;4;543
48 Hrs.;1982;Action Comedy Crime;6.9;6;60457
Chisto angliyskoe ubiystvo;1974;Crime;7.1;6;138
Азазель;2002;Crime Mystery;6.6;5;580
Кошелек или жизнь;2007;Comedy Horror Thriller;6.8;5;70884
Angélique et le sultan;1968;Adventure Romance;6.6;5;1111
Cheburashka;1972;Animation Family Short;8;5;1574
Alexander the Great;1963;Drama;5.3;4;90
Зубастики 3;1991;Comedy Horror Sci-Fi;4.3;3;9429
Christine;1983;Horror;6.7;5;59268
Blondinka za uglom;1984;Comedy Romance;6.5;7;341
Chistoe nebo;1961;Romance War Drama;7.2;6;275
Beverly Hills 90210;1990;Drama Romance;6.2;6;26472
Теория большого взрыва;2007;Comedy Romance;8.2;8;610364
Critters;1986;Comedy Horror Sci-Fi;6;3;26975
Возвращение в Брайдсхед;2008;Drama Romance;6.7;7;11105
Tri plyus dva;1963;Comedy;7.5;6;1279
По прозвищу 'Зверь';1990;Action Crime;5.3;3;131
Клон;2001;Drama Romance Sci-Fi;8.1;4;2044
Chyornaya kuritsa, ili Podzemnye zhiteli;1981;Drama Family Fantasy;6.3;6;74
Анкор, еще анкор!;1993;Comedy Drama;7.1;7;231
Зомби по имени Шон;2004;Comedy Horror;7.9;8;450716
Critters 2;1988;Comedy Horror Sci-Fi;5.4;3;11792
Dvenadtsat mesyatsev;1956;Animation Family;7.6;6;772
31 июня;1978;Fantasy Musical Romance;7.6;7;307
Американская дочь;1995;Comedy Drama;6.3;6;459
Барышня-крестьянка;1995;Drama Romance;6.8;6;235
Бетховен;1992;Comedy Drama Family;5.6;5;57366
Bronzovaya ptitsa;1975;Action Adventure Family;7.6;6;201
Дикий ангел;1998;Comedy Drama Romance;7.4;6;1800
The 300 Spartans;1962;Adventure Drama History;6.7;7;6059
Design for Living;1933;Comedy Romance;7.6;7;4712
Зловещие мертвецы;1981;Horror;7.5;4;162604
Человек с бульвара Капуцинов;1987;Comedy Musical Romance;7.9;7;2280
Капитан Алатристе;2006;Adventure Drama History;6.1;7;11262
Alisa v Zazerkale;1982;Animation Short Comedy;7.8;7;425
Day of the Outlaw;1959;Western;7.3;8;2328
Любовь и тайны Сансет Бич;1997;Drama Romance;6.9;7;2041
Blagorodnyy razboynik Vladimir Dubrovskiy;1990;Drama History;7.1;6;80
Настоящая кровь;2008;Drama Fantasy Mystery;7.9;8;215271
Большая игра;2003;Crime Drama Mystery;8.4;8;8285
Юристы Бостона;2004;Comedy Crime Drama;8.4;9;39067
Аленький цветочек;1952;Animation Short Fantasy;7.7;6;593
Anna na shee;1954;Drama History;7.2;7;94
Bangkok Hilton;1989;Drama Thriller;7.9;7;4078
Springfield Rifle;1952;War Western;6.7;7;1482
Today We Live;1933;Drama Romance War;5.7;5;850
Брюс всемогущий;2003;Comedy Drama Fantasy;6.7;5;334028
Заражение;2011;Drama Thriller;6.6;4;196112
Marathon Man;1976;Crime Thriller;7.5;6;50558
Зак и Мири снимают порно;2008;Comedy Romance;6.6;5;161324
Немножко беременна;2007;Comedy Romance;7;5;323588
The Spy Who Came in from the Cold;1965;Drama Thriller;7.7;7;12540
North and South;1985;Drama History Romance;8.1;6;8322
BUtterfield 8;1960;Drama;6.4;6;4955
Raintree County;1957;Drama Romance War;6.4;6;3015
Чёрный пёc;1998;Action Crime Drama;5.4;4;7527
Road House;1989;Action Thriller;6.5;6;50881
Dirty Dancing;1987;Drama Music Romance;6.9;7;165915
Грязные танцы 2;2004;Drama Music Romance;6;5;24472
Libeled Lady;1936;Comedy Romance;7.9;7;6132
Seconds;1966;Sci-Fi Thriller;7.7;5;13329
Мой отец - мой герой;1991;Comedy Drama Romance;6.1;6;2315
The Brothers Karamazov;1958;Drama Romance;6.8;4;2180
Die Liebe der Jeanne Ney;1927;Drama Romance;7.5;7;578
Граф Монте Кристо;1998;Adventure Drama Romance;8;7;5404
Cyrano de Bergerac;1990;Comedy Drama History;7.5;6;19994
Видок;2001;Action Crime Fantasy;6.5;6;19583
Попасть в десятку;2006;Comedy Drama Romance;6.7;7;19840
Пенелопа;2006;Comedy Fantasy Romance;6.8;7;55802
Живая сталь;2011;Action Drama Family;7.1;6;277682
Джейн Остин;2007;Biography Drama Romance;7.1;8;52553
Полночь в Париже;2011;Comedy Fantasy Romance;7.7;8;344214
Saratoga;1937;Drama Comedy Romance;6.6;6;1289
Мушкетёры;2011;Action Adventure Romance;5.8;4;96380
Born to Dance;1936;Musical Comedy;6.8;5;1169
Carrie;1976;Horror;7.4;5;144756
Murder on the Orient Express;1974;Crime Drama Mystery;7.3;7;47264
Love on the Run;1936;Comedy Fantasy Romance;5.7;5;786
The Haunting;1963;Horror;7.6;6;29794
Wuthering Heights;1970;Adventure Drama Romance;6.7;5;1515
The Body Snatcher;1945;Horror Thriller;7.4;6;6987
Kuroi kawa;1957;Crime Drama;7.3;6;653
Two for the Seesaw;1962;Drama Romance;6.7;6;1263
Один дома 2: Затерянный в Нью-Йорке;1992;Adventure Comedy Family;6.7;6;245625
Австралия;2008;Adventure Drama Romance;6.6;9;111263
Апокалипсис;2006;Action Adventure Drama;7.8;6;262994
Рэмбо IV;2008;Action Thriller War;7;7;196051
Я, робот;2004;Action Crime Drama;7.1;7;445928
Отступники;2006;Crime Drama Thriller;8.5;10;1025198
Эффект бабочки;2004;Sci-Fi Thriller;7.7;6;405617
Без лица;1997;Action Crime Sci-Fi;7.3;7;315113
Сомнение;2008;Drama Mystery;7.5;6;110387
Один дома;1990;Comedy Family;7.5;6;378483
Не пойман - не вор;2006;Crime Drama Mystery;7.6;6;303286
Адвокат дьявола;1997;Drama Mystery Thriller;7.5;8;291398
Планета обезьян;1968;Adventure Sci-Fi;8;6;152177
День сурка;1993;Comedy Fantasy Romance;8;8;518798
Лжец, лжец;1997;Comedy Fantasy;6.9;3;249659
I Wake Up Screaming;1941;Crime Drama Film-Noir;7.3;6;3135
Escape from Fort Bravo;1953;Western;6.7;6;2076
Ледяной цветок;2008;Drama History Romance;7.2;6;3089
Pursued;1947;Drama Mystery Romance;7.3;5;2367
All Quiet on the Western Front;1930;Drama War;8.1;7;51913
Кожа, в которой я живу;2011;Drama Horror Thriller;7.6;8;118400
Аббатство Даунтон;2010;Drama Romance;8.7;9;134940
Убийство;2011;Crime Drama Mystery;8.3;8;84728
Враг общества;2002;Action;7.2;5;1938
Menschen am Sonntag;1930;Comedy Drama Romance;7.5;8;2286
Грозовой перевал;1992;Drama History Romance;6.9;8;10823
Грозовой перевал;2009;Drama Romance;7.7;7;7233
Wuthering Heights;1939;Drama Romance;7.7;7;14337
Бессмертная возлюбленная;1994;Biography Drama Music;7.5;6;21065
Шири;1999;Action Thriller;6.7;5;7410
Romance;1930;Drama Romance;6;6;559
Пианино;1993;Drama Music Romance;7.6;8;70968
Миражи;1916;Short Drama;6.4;5;58
Дети века;1915;Undefined;6.3;6;91
Жизнь за жизнь;1916;Drama;6.7;6;332
Молчи, грусть... молчи;1918;Drama;6.3;6;79
Джейн Эйр;2011;Drama Romance;7.4;8;72078
Семь дней;2007;Crime Thriller;6.8;6;1333
Spoorloos;1988;Mystery Thriller;7.8;8;28799
Горечь и сладость;2005;Action Drama;7.6;8;30170
Forsaking All Others;1934;Comedy Drama Romance;6.1;6;949
Geschlecht in Fesseln;1928;Drama;6.8;6;206
Прощай, детка, прощай;2007;Crime Drama Mystery;7.7;8;224776
Королевская битва;2000;Adventure Drama Sci-Fi;7.7;7;154739
Love;1927;Drama Romance;7.4;7;781
Bimboland;1998;Comedy Romance;4.5;5;843
The Dark Mirror;1946;Crime Drama Film-Noir;7.1;7;3276
Taiyô no kizu;2006;Crime Drama Thriller;7.2;5;465
A Bear Named Winnie;2004;Drama War;7;7;796
Ковбои против пришельцев;2011;Action Sci-Fi Thriller;6;5;190660
Tretya meshchanskaya;1927;Comedy Drama;7.6;8;860
Videodrome;1983;Horror Sci-Fi Thriller;7.3;5;71249
Beyond a Reasonable Doubt;1956;Crime Drama Film-Noir;7;6;3794
Born to Kill;1947;Crime Drama Film-Noir;7.3;6;3790
Первый мститель;2011;Action Adventure Sci-Fi;6.9;6;615045
Killer's Kiss;1955;Crime Drama Film-Noir;6.7;6;18293
Сталкер;1979;Drama Sci-Fi;8.1;5;91356
Fallen Angel;1945;Crime Film-Noir Mystery;7.2;6;3909
Un chapeau de paille d'Italie;1928;Comedy;6.9;8;686
The Dark Corner;1946;Crime Drama Film-Noir;7.2;7;3449
Ведьма;2004;Comedy Drama Fantasy;7.1;4;4457
Грёзы;1915;Drama Short;7;7;189
Le quai des brumes;1938;Crime Drama Romance;7.7;8;7096
Андалузский пёс;1929;Short Fantasy Horror;7.8;7;40153
Brief Encounter;1945;Drama Romance;8.1;8;30333
Ugetsu monogatari;1953;Drama Fantasy War;8.2;6;17059
Jôi-uchi: Hairyô tsuma shimatsu;1967;Drama;8.4;8;8715
Люди Икс: Первый класс;2011;Action Adventure Sci-Fi;7.7;8;586366
Lady in the Lake;1946;Crime Film-Noir Mystery;6.6;6;4197
Now and Forever;1934;Drama Musical Romance;6.6;5;766
Dark Passage;1947;Film-Noir Thriller;7.6;5;15125
The Hitch-Hiker;1953;Crime Film-Noir Thriller;7;6;5240
Царство небесное;2005;Action Adventure Drama;7.2;5;242769
Чeловек, которого не было;2001;Crime Drama;7.6;7;94528
Свадебный банкет;1993;Comedy Drama Romance;7.7;7;12249
Anna Karenina;1935;Drama Romance;7.1;7;4378
The Painted Veil;1934;Drama Romance;6.7;6;1106
The Marrying Man;1991;Comedy Music Romance;5.7;7;4619
Camille;1936;Drama Romance;7.5;7;6388
Too Hot to Handle;1938;Adventure Comedy Drama;6.8;7;1208
Häxan;1922;Documentary Fantasy Horror;7.7;6;9508
Anna Christie;1930;Drama Romance;6.9;7;2370
Рокки;1976;Drama Sport;8.1;5;449933
Crime Wave;1953;Crime Drama Film-Noir;7.4;8;2570
He Who Gets Slapped;1924;Drama Romance Thriller;7.9;7;2518
El ángel exterminador;1962;Drama Fantasy;8.2;5;23572
Chained;1934;Drama Romance;5.9;6;701
The Private Lives of Elizabeth and Essex;1939;Biography Drama History;7.2;7;4400
Krótki film o milosci;1988;Drama Romance;8.3;6;15448
Парфюмер: История одного убийцы;2006;Crime Drama Fantasy;7.5;9;212051
Tabu: A Story of the South Seas;1931;Drama Romance Adventure;7.6;6;4164
Малена;2000;Comedy Drama Romance;7.5;7;76222
Жюль и Джим;1962;Drama Romance;7.9;8;31949
Бесславные ублюдки;2009;Adventure Drama War;8.3;10;1062445
Trouble in Paradise;1932;Comedy Crime Romance;8.2;7;11182
Чeрез Вселенную;2007;Drama Fantasy Musical;7.4;7;99469
Госфорд Парк;2001;Comedy Drama Mystery;7.3;8;71265
Королева;2006;Biography Drama History;7.3;7;95235
In a Lonely Place;1950;Drama Film-Noir Mystery;8;8;21090
Хеллбой II: Золотая армия;2008;Action Adventure Fantasy;7;7;231450
Идентификация Борна;2002;Action Mystery Thriller;7.9;7;460914
Мулен Руж;2001;Drama Musical Romance;7.6;8;245707
Грайндхаус;2007;Action Horror Thriller;7.6;8;166394
Огни большого города;1931;Comedy Drama Romance;8.6;9;137309
Убить Билла 2;2004;Action Crime Thriller;8;9;585931
Blowup;1966;Drama Mystery Thriller;7.6;8;48522
Шербургские зонтики;1964;Drama Musical Romance;7.9;7;19084
Майкл Клейтон;2007;Crime Drama Mystery;7.3;8;145714
Голод;2008;Biography Drama;7.6;5;59032
Супер 8;2011;Mystery Sci-Fi Thriller;7;6;313092
Аквариум;2009;Drama;7.3;7;53406
Шерлок Холмс и дело о шелковом чулке;2004;Crime Drama Mystery;6.8;6;2277
The Temptress;1926;Drama Romance;7;6;936
Grand Hotel;1932;Drama Romance;7.5;7;15001
The Kiss;1929;Romance Drama;7;7;813
