Name;Year;Genres;IMDBRate;MyRate;Voters
Да здравствует Цезарь!;2016;Comedy Mystery;6.3;7;105105
Мы не можем жить без космоса;2014;Animation Short Drama;7.6;8;1576
Мустанг;2015;Drama;7.6;7;28720
Комиссар Монтальбано;1999;Crime Drama Mystery;7.9;6;81
Комиссар Монтальбано;1999;Crime Drama Mystery;7.5;6;83
Спартак;1960;Adventure Biography Drama;7.9;8;109663
Война и мир;2016;Drama History Romance;8.2;8;16093
Игра на понижение;2015;Biography Comedy Drama;7.8;4;287041
Кэрол;2015;Drama Romance;7.2;6;92867
45 лет;2015;Drama Romance;7.1;5;26478
La ley del deseo;1987;Comedy Drama Thriller;7.2;6;8939
Небольшой хаос;2014;Drama Romance;6.5;6;17027
Трамбо;2015;Biography Drama;7.5;5;65881
В центре внимания;2015;Crime Drama History;8.1;7;335560
Джой;2015;Drama;6.6;4;111920
Крид: Наследие Рокки;2015;Drama Sport;7.6;6;200853
Пока мы молоды;2014;Comedy Drama Mystery;6.3;6;39370
Комната;2015;Drama Thriller;8.2;7;286066
Выживший;2015;Action Adventure Drama;8;9;574313
Девушка из Дании;2015;Biography Drama History;7.1;5;135450
Американцы;2013;Crime Drama Mystery;8.4;8;66456
Суфражистка;2015;Biography Drama History;6.9;5;32057
Омерзительная восьмерка;2015;Crime Drama Mystery;7.8;7;402158
Стив Джобс;2015;Biography Drama;7.2;8;132706
Новейший завет;2015;Comedy Fantasy;7.1;8;23986
Чeрная месса;2015;Biography Crime Drama;6.9;4;149939
Любовь и милосердие;2014;Biography Drama Music;7.4;5;30794
Нарко;2015;Biography Crime Drama;8.9;7;261164
Charade;1963;Comedy Mystery Romance;8;6;57152
Fatty and Mabel's Simple Life;1915;Comedy Short;6;5;189
L'angoissante aventure;1920;Adventure Comedy Romance;6.8;7;39
Крах;2013;Crime Drama Thriller;8.2;7;58853
Девственницы-самоубийцы;1999;Drama Romance;7.2;7;130445
99 домов;2014;Drama;7.1;6;25256
Убийца;2015;Action Crime Drama;7.6;8;301877
Головоломка;2015;Animation Adventure Comedy;8.2;8;497055
Безродные звери;2015;Drama War;7.8;7;58885
Макбет;2015;Drama History War;6.6;8;47003
Новая роль Фатти;1915;Comedy Short;5.6;4;223
Бруклин;2015;Drama Romance;7.5;8;110297
007: Спектр;2015;Action Adventure Thriller;6.8;7;338176
Die weiße Hölle vom Piz Palü;1929;Action Adventure Drama;7.3;7;758
Fatty and Mabel at the San Diego Exposition;1915;Comedy Short;5.7;5;162
Woo-ri-dong-ne;2007;Crime Mystery Thriller;6.3;4;381
Молодость;2015;Comedy Drama Music;7.3;6;60992
Двойник;2013;Comedy Drama Thriller;6.5;8;42376
Пропойцы;1914;Comedy Short;6.3;7;1203
Воспоминания о будущем;2014;Biography Drama History;7.3;7;21654
Тропы;2013;Adventure Biography Drama;7.2;7;24330
Комиссар Монтальбано;1999;Crime Drama Mystery;7.9;6;89
У моря;2004;Biography Drama Music;6.7;5;13775
Террор в прямом эфире;2013;Action Thriller;7.2;7;4349
Багровый пик;2015;Drama Fantasy Horror;6.5;8;113770
Комиссар Монтальбано;1999;Crime Drama Mystery;8.1;6;93
Billy: The Early Years;2008;Biography Drama;6.9;5;632
Нокаут;1914;Short Comedy;5.8;5;947
Марсианин;2015;Adventure Drama Sci-Fi;8;8;634407
Laguna;2001;Drama Thriller;5.5;5;202
¡Átame!;1989;Comedy Crime Drama;7;7;20739
Yabu no naka no kuroneko;1968;Drama Horror;7.8;8;4684
Инспектор Линли расследует;2001;Crime Drama Mystery;6.9;6;322
Комиссар Монтальбано;1999;Crime Drama Mystery;7.7;7;123
Сплетница;2007;Drama Romance;7.4;5;133099
Инспектор Линли расследует;2001;Crime Drama Mystery;7.3;7;390
Угон дешевого автомобильчика;1914;Comedy Short;5.6;4;175
Yôkai hyaku monogatari;1968;Horror;6.4;7;236
Эми;2015;Documentary Biography Music;7.8;7;41529
Ukikusa;1959;Drama;8;7;5864
A Flirt's Mistake;1914;Comedy Short;5.4;4;171
Страшные сказки;2015;Drama Fantasy Horror;6.4;7;22222
Комиссар Монтальбано;1999;Crime Drama Mystery;7.7;6;126
Комиссар Монтальбано;1999;Crime Drama Mystery;7.5;7;151
Le hasard et l'amour;1915;Short Comedy;6.3;5;87
Max Wants a Divorce;1917;Short Comedy;6.4;6;70
Фатти вступает в полицию;1913;Comedy Short;5.4;5;271
Onibaba;1964;Drama Horror;8;8;12839
True Confession;1937;Comedy Crime;7.4;6;1158
Комиссар Монтальбано;1999;Crime Drama Mystery;7.6;6;147
Дом из песка и тумана;2003;Crime Drama;7.6;6;60608
The Best of Everything;1959;Drama Romance;6.4;7;1472
Max champion de boxe;1910;Short Comedy;5.8;5;39
Иррациональный человек;2015;Comedy Drama;6.6;3;47421
Bardelys the Magnificent;1926;Drama Romance;7.8;7;937
